tags,score
"<android><bluetooth><bluetooth-lowenergy>","12"
"<redux-saga>","13"
"<reactjs><cors><fetch-api><create-react-app>","24"
"<django><postgresql><database-connection><django-orm>","11"
"<python><openssl><pyopenssl>","12"
"<python><visual-studio-code><pylint>","11"
"<angular><ionic2><ionic3>","18"
"<visual-studio-2017>","106"
"<face-detection><google-search-api>","12"
"<c++><arrays><constructor><c++14><constexpr>","14"
"<python><tensorflow>","18"
"<ios><swift><speech-recognition>","12"
"<ios><iphone><swift>","25"
"<android><debugging><android-studio><android-sdk-tools>","21"
"<visual-studio-code>","40"
"<reactjs><create-react-app>","11"
"<java><logging><log4j><slf4j><log4j2>","41"
"<android><adb><raspberry-pi3><android-things>","15"
"<python><tensorflow>","12"
"<angular><angular-material2>","12"
"<bootstrap-4><twitter-bootstrap-4>","11"
"<ios><objective-c><xcode><ios10><phphotolibrary>","25"
"<java><mysql><jdbc>","13"
"<c++><multithreading><c++11>","12"
"<php><arrays><database><laravel><object>","18"
"<android><design>","11"
"<git><version-control><merge><diff>","15"
"<javascript><reactjs><react-native><virtual-dom><react-fiber>","12"
"<angular><single-page-application><aurelia>","15"
"<javascript><c#><asp.net-mvc><google-analytics><google-oauth>","15"
"<c#><sql-server><reporting-services><reporting><rdlc>","16"
"<java><mockito><deprecated>","22"
"<php><mongodb><eloquent><sails.js><waterline>","11"
"<jboss><dependencies><sbt>","36"
"<ios><iphone><meta-tags>","12"
"<angular><angular-animations>","14"
"<c#><nuget><.net-core><nuget-package-restore><visual-studio-2017>","23"
"<javascript><python><angularjs><django>","13"
"<c><arrays><pointers><syntax>","45"
"<javascript><html><css><npm><webpack>","15"
"<javascript><angular><rxjs><observable>","15"
"<android><rx-java>","11"
"<javascript><reactjs>","14"
"<boost><cmake>","27"
"<django><django-middleware>","18"
"<r>","31"
"<java><generics><java-8><language-lawyer>","56"
"<python>","24"
"<html><css>","17"
"<android><android-gradle><android-wear><nativescript><hybrid-mobile-app>","12"
"<c++><constructor><this><rvalue><constructor-overloading>","12"
"<python><cron><environment-variables>","19"
"<travis-ci>","18"
"<java><rest><enums><jax-rs><swagger>","12"
"<python><regex><performance><parsing><pandas>","34"
"<linux><docker><docker-for-windows><windows-container>","55"
"<dictionary><kotlin><literals>","17"
"<node.js><angular><angular-cli>","25"
"<javascript><ios><html5><google-chrome><html5-history>","19"
"<webpack><webpack-dev-server>","19"
"<c#>","14"
"<html><css><ajax><performance><svg>","11"
"<angular><typescript><angular-cli><aframe>","11"
"<angular><caching><rxjs><rxjs5>","19"
"<tensorflow>","24"
"<python><regex><string><list><split>","14"
"<laravel><pagination><algolia>","13"
"<ios><xcode><swift3><mpmediaplayercontroller>","14"
"<git>","11"
"<c++><c++11>","16"
"<google-chrome><firefox><ssl><encryption><wireshark>","11"
"<node.js><yarnpkg>","26"
"<php><forms><silverstripe>","24"
"<asp.net-core><.net-core>","29"
"<node.js><google-chrome-devtools>","16"
"<python><unit-testing><code-coverage><doctest>","13"
"<angularjs><google-chrome><fonts><webfonts>","27"
"<arrays><swift><generics>","13"
"<python><python-decorators>","11"
"<r><tidyr>","12"
"<c#><entity-framework><sqlite><.net-core>","25"
"<c++><c><operators><decrement>","46"
"<android><google-cloud-messaging>","17"
"<ios><reactjs><react-native>","66"
"<javascript><reactjs><ecmascript-6><react-router>","11"
"<vue.js><vue-router>","18"
"<api><http><authentication><web><bearer-token>","13"
"<ios><react-native><react-native-ios>","14"
"<r><matrix><data.table>","14"
"<c#><unit-testing><visual-studio-2015><mstest><visual-studio-2017>","11"
"<c#><.net><asynchronous><async-await>","11"
"<css><twitter-bootstrap><flexbox><bootstrap-4><twitter-bootstrap-4>","13"
"<javascript><node.js><visual-studio-code><jshint>","21"
"<javascript><html><css>","11"
"<docker><kubernetes><dockerfile>","11"
"<intellij-idea><compiler-errors><syntax-error><javadoc>","20"
"<python><py.test><joblib>","12"
"<functional-programming><react-router><graphql><relay><react-router-relay>","13"
"<javascript><typescript><ava>","19"
"<javascript><promise>","15"
"<java><android><android-styles>","11"
"<android><rx-java2>","11"
"<angular><http><get>","19"
"<c#><msbuild><visual-studio-2017><c#-7.0>","18"
"<android><gesture><drawerlayout><slidingdrawer>","24"
"<swift><core-data><uisearchcontroller><viewdidload>","12"
"<angular><typescript>","17"
"<visual-studio-2015><mstest>","14"
"<angular><typescript><webpack><angular-cli>","19"
"<python><windows><python-3.x><pip>","11"
"<android><gradle><keystore>","13"
"<ansible><ansible-playbook>","14"
"<firebase><firebase-database><angularfire><angularfire2>","19"
"<typescript><typescript-typings>","13"
"<java><spring><spring-mvc><servlets>","52"
"<powershell><ssl>","43"
"<java><floating-point>","12"
"<angular><ngrx>","21"
"<c++><c++14><language-lawyer><sfinae><stdtuple>","14"
"<node.js><async-await>","14"
"<python><duplicates>","11"
"<primefaces><jsf-2><custom-component>","12"
"<tensorflow><neural-network><classification><deep-learning>","16"
"<c++><templates><vector><member><incomplete-type>","39"
"<java><json><openjpa>","12"
"<tensorflow><translate>","15"
"<react-redux><reduce>","11"
"<php><mysql><wordpress>","21"
"<javascript><webpack><babeljs>","12"
"<c++>","12"
"<c#><ssl><cac>","13"
"<css><svg><pseudo-class>","14"
"<python><python-asyncio>","34"
"<angular><ionic2><auth0>","14"
"<ios><xcode><react-native>","16"
"<javascript><angular><escaping><keypress>","12"
"<android><android-studio>","12"
"<angular>","12"
"<haskell><haskell-stack>","11"
"<c#><http><asp.net-core><query-string><.net-core>","23"
"<angular>","26"
"<c++><arrays><c++11><templates><c++14>","18"
"<java><collision-detection><collision>","11"
"<scala>","11"
"<typescript>","11"
"<blockchain><hyperledger><corda><mining>","17"
"<python><tensorflow><deep-learning><keras>","23"
"<java><android><c++><android-ndk><googletest>","11"
"<android><sqlite><drag-and-drop><android-recyclerview>","12"
"<angular><routing>","27"
"<ios><swift><nsdate>","13"
"<c++><templates><pointers>","12"
"<javascript><reactjs><layout><responsive>","29"
"<python><variable-names>","14"
"<c++><return-value><language-lawyer><return-type><forward-declaration>","14"
"<angularjs><angular><components><angular-cli>","16"
"<ruby-on-rails><webforms><http-headers><ruby-on-rails-5>","14"
"<javascript><node.js><promise><bluebird>","21"
"<jhipster><yarnpkg>","14"
"<c#>","14"
"<javascript>","18"
"<kotlin><rx-kotlin>","23"
"<c#><asp.net><authentication><asp.net-core><openid-connect>","32"
"<reactjs><ecmascript-6><react-router-v4>","161"
"<apache-spark><spark-dataframe>","22"
"<java><sonarqube><code-separation>","21"
"<backend><theano><keras>","13"
"<docker><docker-compose>","14"
"<android><ontouchlistener>","14"
"<prolog>","24"
"<ios><objective-c><drupal>","15"
"<java><multithreading><concurrency><thread-safety><java.util.concurrent>","11"
"<java><http><jersey><jetty><http2>","16"
"<c#><decimal><coreclr><overflowexception>","11"
"<python><list>","11"
"<react-native><react-navigation>","13"
"<javascript><arraybuffer>","12"
"<python><python-3.x><class><dictionary><python-internals>","13"
"<ios><performance><runloop>","25"
"<scala><sbt>","12"
"<javascript><mobile><react-native>","90"
"<python><pandas><numpy>","13"
"<html><angular><input><angularjs-directive>","18"
"<ruby-on-rails><cookies><session-cookies>","19"
"<python><python-internals>","27"
"<python><count><character>","18"
"<javascript><momentjs>","11"
"<c++><c++11><templates><user-defined-literals>","14"
"<kotlin>","11"
"<powershell><azure><azure-virtual-machine><azure-powershell>","11"
